t,f0,f1,f2,f3
8.600000e+00,5.993957e+01,5.993898e+01,5.993946e+01,5.994007e+01
8.633333e+00,5.993962e+01,5.993901e+01,5.993948e+01,5.994008e+01
8.666667e+00,5.993967e+01,5.993903e+01,5.993949e+01,5.994008e+01
8.700000e+00,5.993972e+01,5.993906e+01,5.993950e+01,5.994008e+01
8.733333e+00,5.993976e+01,5.993908e+01,5.993951e+01,5.994008e+01
8.766667e+00,5.993981e+01,5.993910e+01,5.993953e+01,5.994008e+01
8.800000e+00,5.993985e+01,5.993913e+01,5.993954e+01,5.994008e+01
8.833333e+00,5.993989e+01,5.993915e+01,5.993955e+01,5.994008e+01
8.866667e+00,5.993994e+01,5.993917e+01,5.993956e+01,5.994008e+01
8.900000e+00,5.993998e+01,5.993919e+01,5.993957e+01,5.994009e+01
8.933333e+00,5.994002e+01,5.993921e+01,5.993958e+01,5.994009e+01
8.966667e+00,5.994005e+01,5.993923e+01,5.993959e+01,5.994009e+01
9.000000e+00,5.994009e+01,5.993925e+01,5.993960e+01,5.994009e+01
9.033333e+00,5.994013e+01,5.993927e+01,5.993961e+01,5.994009e+01
9.066667e+00,5.994017e+01,5.993929e+01,5.993962e+01,5.994009e+01
9.100000e+00,5.994020e+01,5.993931e+01,5.993963e+01,5.994009e+01
9.133333e+00,5.994024e+01,5.993933e+01,5.993964e+01,5.994009e+01
9.166667e+00,5.994027e+01,5.993935e+01,5.993965e+01,5.994009e+01
9.200000e+00,5.994031e+01,5.993937e+01,5.993966e+01,5.994009e+01
9.233333e+00,5.994034e+01,5.993938e+01,5.993967e+01,5.994009e+01
9.266667e+00,5.994038e+01,5.993940e+01,5.993968e+01,5.994009e+01
9.300000e+00,5.994041e+01,5.993942e+01,5.993969e+01,5.994009e+01
9.333333e+00,5.994044e+01,5.993943e+01,5.993970e+01,5.994010e+01
9.366667e+00,5.994047e+01,5.993945e+01,5.993970e+01,5.994010e+01
9.400000e+00,5.994050e+01,5.993947e+01,5.993971e+01,5.994010e+01
9.433333e+00,5.994053e+01,5.993948e+01,5.993972e+01,5.994010e+01
9.466667e+00,5.994056e+01,5.993950e+01,5.993973e+01,5.994010e+01
9.500000e+00,5.994059e+01,5.993951e+01,5.993974e+01,5.994010e+01
9.533333e+00,5.994062e+01,5.993953e+01,5.993974e+01,5.994010e+01
9.566667e+00,5.994065e+01,5.993954e+01,5.993975e+01,5.994010e+01
9.600000e+00,5.994067e+01,5.993956e+01,5.993976e+01,5.994010e+01
9.633333e+00,5.994070e+01,5.993957e+01,5.993976e+01,5.994010e+01
9.666667e+00,5.994073e+01,5.993958e+01,5.993977e+01,5.994010e+01
9.700000e+00,5.994075e+01,5.993960e+01,5.993978e+01,5.994010e+01
9.733333e+00,5.994077e+01,5.993961e+01,5.993979e+01,5.994010e+01
9.766667e+00,5.994079e+01,5.993962e+01,5.993979e+01,5.994010e+01
9.800000e+00,5.994081e+01,5.993964e+01,5.993980e+01,5.994010e+01
9.833333e+00,5.994083e+01,5.993965e+01,5.993980e+01,5.994010e+01
9.866667e+00,5.994085e+01,5.993966e+01,5.993981e+01,5.994010e+01
9.900000e+00,5.994087e+01,5.993967e+01,5.993982e+01,5.994010e+01
9.933333e+00,5.994089e+01,5.993969e+01,5.993982e+01,5.994009e+01
9.966667e+00,5.994090e+01,5.993970e+01,5.993983e+01,5.994009e+01
1.000000e+01,5.994092e+01,5.993971e+01,5.993983e+01,5.994009e+01
1.003333e+01,5.994093e+01,5.993972e+01,5.993984e+01,5.994009e+01
1.006667e+01,5.994094e+01,5.993973e+01,5.993984e+01,5.994009e+01
1.010000e+01,5.994095e+01,5.993974e+01,5.993985e+01,5.994009e+01
1.013333e+01,5.994096e+01,5.993975e+01,5.993985e+01,5.994009e+01
1.016667e+01,5.994097e+01,5.993976e+01,5.993986e+01,5.994009e+01
1.020000e+01,5.994098e+01,5.993977e+01,5.993986e+01,5.994009e+01
1.023333e+01,5.994098e+01,5.993978e+01,5.993987e+01,5.994009e+01
1.026667e+01,5.994099e+01,5.993979e+01,5.993987e+01,5.994009e+01
1.030000e+01,5.994099e+01,5.993980e+01,5.993988e+01,5.994009e+01
1.033333e+01,5.994100e+01,5.993980e+01,5.993988e+01,5.994009e+01
1.036667e+01,5.994100e+01,5.993981e+01,5.993988e+01,5.994009e+01
1.040000e+01,5.994100e+01,5.993982e+01,5.993989e+01,5.994009e+01
1.043333e+01,5.994100e+01,5.993983e+01,5.993989e+01,5.994009e+01
1.046667e+01,5.994100e+01,5.993984e+01,5.993989e+01,5.994008e+01
1.050000e+01,5.994100e+01,5.993984e+01,5.993990e+01,5.994008e+01
1.053333e+01,5.994100e+01,5.993985e+01,5.993990e+01,5.994008e+01
1.056667e+01,5.994100e+01,5.993986e+01,5.993990e+01,5.994008e+01
1.060000e+01,5.994099e+01,5.993987e+01,5.993991e+01,5.994008e+01
1.063333e+01,5.994099e+01,5.993987e+01,5.993991e+01,5.994008e+01
1.066667e+01,5.994099e+01,5.993988e+01,5.993991e+01,5.994008e+01
1.070000e+01,5.994099e+01,5.993988e+01,5.993992e+01,5.994008e+01
1.073333e+01,5.994098e+01,5.993989e+01,5.993992e+01,5.994008e+01
1.076667e+01,5.994098e+01,5.993990e+01,5.993992e+01,5.994007e+01
1.080000e+01,5.994097e+01,5.993990e+01,5.993992e+01,5.994007e+01
1.083333e+01,5.994097e+01,5.993991e+01,5.993993e+01,5.994007e+01
