t,lc1,lc2,lc3,lc4,c1,c2,c3,c4
5.000000e+00,9.499809e-05,1.022366e-04,9.955258e-05,1.457192e-04,1.004303e-04,1.078142e-04,1.055664e-04,1.518166e-04
5.033333e+00,1.199504e-04,7.631567e-05,1.014314e-04,1.458268e-04,1.250452e-04,8.222572e-05,1.075963e-04,1.518168e-04
5.066667e+00,1.436838e-04,5.198802e-05,1.043647e-04,1.440653e-04,1.484596e-04,5.821317e-05,1.106628e-04,1.499634e-04
5.100000e+00,1.647788e-04,3.084418e-05,1.081770e-04,1.405237e-04,1.693107e-04,3.730601e-05,1.145891e-04,1.463515e-04
5.133333e+00,1.819863e-04,1.427830e-05,1.126261e-04,1.353972e-04,1.862531e-04,2.101803e-05,1.191454e-04,1.411372e-04
5.166667e+00,1.943052e-04,3.400396e-06,1.174178e-04,1.289770e-04,1.984195e-04,1.031015e-05,1.240141e-04,1.346659e-04
5.200000e+00,2.010450e-04,-1.033590e-06,1.222249e-04,1.216337e-04,2.051536e-04,5.909736e-06,1.288728e-04,1.273034e-04
5.233333e+00,2.018685e-04,1.330407e-06,1.267084e-04,1.137952e-04,2.059555e-04,8.368994e-06,1.333695e-04,1.194671e-04
5.266667e+00,1.968121e-04,1.042193e-05,1.305394e-04,1.059216e-04,2.010436e-04,1.741575e-05,1.371857e-04,1.116318e-04
5.300000e+00,1.862832e-04,2.575007e-05,1.334216e-04,9.847668e-05,1.908136e-04,3.257702e-05,1.400343e-04,1.042478e-04
5.333333e+00,1.710338e-04,4.643382e-05,1.351113e-04,9.189992e-05,1.758692e-04,5.314026e-05,1.416384e-04,9.777772e-05
5.366667e+00,1.521125e-04,7.125686e-05,1.354348e-04,8.657903e-05,1.573797e-04,7.774279e-05,1.418659e-04,9.257668e-05
5.400000e+00,1.307983e-04,9.874345e-05,1.343012e-04,8.282582e-05,1.365647e-04,1.049638e-04,1.406351e-04,8.894109e-05
5.433333e+00,1.085193e-04,1.272506e-04,1.317111e-04,8.085657e-05,1.147923e-04,1.332089e-04,1.379098e-04,8.713269e-05
5.466667e+00,8.676286e-05,1.550704e-04,1.277586e-04,8.077828e-05,9.354300e-05,1.607601e-04,1.338360e-04,8.719561e-05
5.500000e+00,6.698126e-05,1.805371e-04,1.226277e-04,8.258168e-05,7.419733e-05,1.860161e-04,1.286006e-04,8.911215e-05
5.533333e+00,5.050026e-05,2.021308e-04,1.165836e-04,8.614164e-05,5.814777e-05,2.073615e-04,1.224488e-04,9.280105e-05
5.566667e+00,3.843528e-05,2.185724e-04,1.099578e-04,9.122482e-05,4.638867e-05,2.236509e-04,1.157455e-04,9.796952e-05
5.600000e+00,3.162095e-05,2.289035e-04,1.031294e-04,9.750431e-05,3.971720e-05,2.339661e-04,1.088642e-04,1.042939e-04
5.633333e+00,3.055836e-05,2.325460e-04,9.650280e-05,1.045804e-04,3.879714e-05,2.375410e-04,1.022195e-04,1.113939e-04
5.666667e+00,3.538321e-05,2.293378e-04,9.048355e-05,1.120059e-04,4.359607e-05,2.344182e-04,9.621122e-05,1.187982e-04
5.700000e+00,4.585705e-05,2.195430e-04,8.545359e-05,1.193152e-04,5.389026e-05,2.248546e-04,9.121084e-05,1.260547e-04
5.733333e+00,6.138203e-05,2.038346e-04,8.174771e-05,1.260539e-04,6.924508e-05,2.093415e-04,8.759170e-05,1.326949e-04
5.766667e+00,8.103819e-05,1.832522e-04,7.963242e-05,1.318087e-04,8.860924e-05,1.890815e-04,8.557589e-05,1.383298e-04
5.800000e+00,1.036412e-04,1.591366e-04,7.928881e-05,1.362344e-04,1.108497e-04,1.653623e-04,8.533468e-05,1.426316e-04
5.833333e+00,1.278164e-04,1.330454e-04,8.080034e-05,1.390771e-04,1.346602e-04,1.396609e-04,8.700150e-05,1.453085e-04
5.866667e+00,1.520855e-04,1.066553e-04,8.414657e-05,1.401911e-04,1.585389e-04,1.136875e-04,9.049251e-05,1.462738e-04
5.900000e+00,1.749590e-04,8.165730e-05,8.920308e-05,1.395495e-04,1.810594e-04,8.906236e-05,9.567921e-05,1.455125e-04
5.933333e+00,1.950300e-04,5.964999e-05,9.574786e-05,1.372470e-04,2.007558e-04,6.744765e-05,1.023765e-04,1.430811e-04
5.966667e+00,2.110625e-04,4.204007e-05,1.034737e-04,1.334947e-04,2.164999e-04,5.013836e-05,1.102254e-04,1.392498e-04
6.000000e+00,2.220695e-04,2.995413e-05,1.120060e-04,1.286075e-04,2.273536e-04,3.821279e-05,1.188552e-04,1.343327e-04
6.033333e+00,2.273749e-04,2.416838e-05,1.209248e-04,1.229843e-04,2.324928e-04,3.262039e-05,1.278521e-04,1.287137e-04
