f,real,imag
9.806262e-01,-3.800304e-01,-1.453772e+00
9.825636e-01,-3.810173e-01,-1.450375e+00
9.845010e-01,-3.819974e-01,-1.446986e+00
9.864384e-01,-3.829705e-01,-1.443606e+00
9.883757e-01,-3.839367e-01,-1.440233e+00
9.903131e-01,-3.848962e-01,-1.436868e+00
9.922505e-01,-3.858488e-01,-1.433511e+00
9.941879e-01,-3.867946e-01,-1.430163e+00
9.961252e-01,-3.877336e-01,-1.426822e+00
9.980626e-01,-3.886659e-01,-1.423489e+00
1.000000e+00,-3.895915e-01,-1.420164e+00
